ground_width_um,sample_frequency_ghz,mean_re_zpi_ohm,abs_re_zpi_o1_minus_o2_ohm,mean_re_zpv_ohm,abs_re_zpv_o1_minus_o2_ohm,abs_St_o1_o1,abs_St_o2_o1,terminal_adaptive_passes,terminal_analyze_setup_seconds,modal_zpv_adaptive_passes,modal_zpv_analyze_setup_seconds,adjacent_ground_width_mean_zpi_full_band_max_delta_ohm,adjacent_ground_width_mean_zpv_full_band_max_delta_ohm
10,5.49987499374969,49.694227646138465,0.5611274376223321,45.44859134645245,0.2929171600844853,0.0037574061565405,0.999992940921296,3,67.1627423169848,3,41.14696481201099,,
20,5.49987499374969,51.25214409032613,0.42699123191656696,46.77139189698461,0.14969007827406955,0.0024694713996673,0.99999695084913,3,77.32503883799654,3,46.19061449600849,1.5687306499461755,1.3232240654266008
40,5.49987499374969,52.39512260448092,1.5306564326857526,46.83096252612029,1.380775234276463,0.0162186717877775,0.999868468691135,3,91.52698189698276,3,56.335316041018814,1.1707187459756625,0.05992797421431817
80,5.49987499374969,52.53065731018067,0.1729764832941143,47.70096597605388,0.111657375978794,0.0011418189926684,0.999999348122351,3,131.94319958100095,3,76.66289305200917,0.13835645185319834,0.8703206305141009
160,5.49987499374969,52.56892552048109,0.9305638899285569,47.43368116913707,0.8589090554509085,0.0091308659015031,0.999958312764324,3,187.91705720001482,3,106.3886779800232,0.03972910493801862,0.2681445694139768
