lead_length_um,physical_mode,terminal_label,frequency_ghz,zpi_real_ohm,zpi_imag_ohm
200,seam:1,o1,3.0,55.23259645566222,0.0
200,seam:1,o1,3.0002500125006253,55.23259520047246,0.0
200,seam:1,o1,3.00050002500125,55.23259394518873,0.0
200,seam:1,o1,3.000750037501875,55.23259268981108,0.0
200,seam:1,o1,3.0010000500025003,55.232591434339504,0.0
200,seam:1,o1,3.001250062503125,55.23259017877403,0.0
200,seam:1,o1,3.0015000750037504,55.232588923114676,0.0
200,seam:1,o1,3.0017500875043748,55.23258766736146,0.0
200,seam:1,o1,3.002000100005,55.232586411514376,0.0
200,seam:1,o1,3.0022501125056253,55.232585155573474,0.0
200,seam:1,o1,3.00250012500625,55.23258389953875,0.0
200,seam:1,o1,3.0027501375068755,55.232582643410254,0.0
200,seam:1,o1,3.0030001500075003,55.23258138718796,0.0
200,seam:1,o1,3.003250162508125,55.23258013087192,0.0
200,seam:1,o1,3.0035001750087504,55.23257887446212,0.0
200,seam:1,o1,3.0037501875093757,55.23257761795861,0.0
200,seam:1,o1,3.0040002000100006,55.232576361361396,0.0
200,seam:1,o1,3.0042502125106254,55.23257510467049,0.0
200,seam:1,o1,3.0045002250112507,55.23257384788592,0.0
200,seam:1,o1,3.0047502375118755,55.23257259100768,0.0
200,seam:1,o1,3.005000250012501,55.23257133403582,0.0
200,seam:1,o1,3.005250262513125,55.23257007697033,0.0
200,seam:1,o1,3.0055002750137505,55.232568819811256,0.0
200,seam:1,o1,3.005750287514376,55.2325675625586,0.0
200,seam:1,o1,3.0060003000150006,55.23256630521237,0.0
200,seam:1,o1,3.006250312515626,55.23256504777262,0.0
200,seam:1,o1,3.0065003250162508,55.23256379023933,0.0
200,seam:1,o1,3.0067503375168756,55.23256253261254,0.0
200,seam:1,o1,3.007000350017501,55.23256127489225,0.0
200,seam:1,o1,3.007250362518126,55.23256001707849,0.0
200,seam:1,o1,3.007500375018751,55.23255875917128,0.0
200,seam:1,o1,3.007750387519376,55.232557501170646,0.0
200,seam:1,o1,3.008000400020001,55.232556243076594,0.0
200,seam:1,o1,3.008250412520626,55.232554984889134,0.0
200,seam:1,o1,3.0085004250212513,55.23255372660832,0.0
200,seam:1,o1,3.0087504375218757,55.23255246823413,0.0
200,seam:1,o1,3.009000450022501,55.23255120976661,0.0
200,seam:1,o1,3.0092504625231262,55.23254995120577,0.0
200,seam:1,o1,3.009500475023751,55.23254869255162,0.0
200,seam:1,o1,3.0097504875243764,55.23254743380419,0.0
200,seam:1,o1,3.010000500025001,55.232546174963495,0.0
200,seam:1,o1,3.010250512525626,55.23254491602956,0.0
200,seam:1,o1,3.0105005250262513,55.232543657002374,0.0
200,seam:1,o1,3.0107505375268766,55.232542397882014,0.0
200,seam:1,o1,3.0110005500275014,55.232541138668445,0.0
200,seam:1,o1,3.0112505625281263,55.23253987936172,0.0
200,seam:1,o1,3.0115005750287516,55.232538619961836,0.0
200,seam:1,o1,3.0117505875293764,55.232537360468825,0.0
200,seam:1,o1,3.0120006000300017,55.2325361008827,0.0
200,seam:1,o1,3.012250612530626,55.23253484120348,0.0
200,seam:1,o1,3.0125006250312514,55.2325335814312,0.0
200,seam:1,o1,3.0127506375318767,55.232532321565856,0.0
200,seam:1,o1,3.0130006500325015,55.23253106160747,0.0
200,seam:1,o1,3.013250662533127,55.23252980155608,0.0
200,seam:1,o1,3.0135006750337516,55.232528541411696,0.0
200,seam:1,o1,3.0137506875343765,55.23252728117433,0.0
200,seam:1,o1,3.0140007000350018,55.23252602084402,0.0
200,seam:1,o1,3.014250712535627,55.23252476042075,0.0
200,seam:1,o1,3.014500725036252,55.23252349990459,0.0
200,seam:1,o1,3.0147507375368767,55.23252223929551,0.0
200,seam:1,o1,3.015000750037502,55.23252097859357,0.0
200,seam:1,o1,3.015250762538127,55.232519717798766,0.0
200,seam:1,o1,3.015500775038752,55.23251845691113,0.0
200,seam:1,o1,3.0157507875393765,55.232517195930676,0.0
200,seam:1,o1,3.016000800040002,55.23251593485742,0.0
200,seam:1,o1,3.016250812540627,55.23251467369139,0.0
200,seam:1,o1,3.016500825041252,55.2325134124326,0.0
200,seam:1,o1,3.0167508375418772,55.23251215108108,0.0
200,seam:1,o1,3.017000850042502,55.23251088963682,0.0
200,seam:1,o1,3.017250862543127,55.23250962809989,0.0
200,seam:1,o1,3.017500875043752,55.23250836647027,0.0
200,seam:1,o1,3.0177508875443775,55.232507104747995,0.0
200,seam:1,o1,3.0180009000450023,55.23250584293309,0.0
200,seam:1,o1,3.018250912545627,55.232504581025566,0.0
200,seam:1,o1,3.0185009250462524,55.23250331902545,0.0
200,seam:1,o1,3.0187509375468773,55.23250205693275,0.0
200,seam:1,o1,3.0190009500475026,55.23250079474751,0.0
200,seam:1,o1,3.019250962548127,55.232499532469724,0.0
200,seam:1,o1,3.0195009750487523,55.23249827009944,0.0
200,seam:1,o1,3.0197509875493775,55.23249700763665,0.0
200,seam:1,o1,3.0200010000500024,55.2324957450814,0.0
200,seam:1,o1,3.0202510125506277,55.232494482433694,0.0
200,seam:1,o1,3.0205010250512525,55.23249321969356,0.0
200,seam:1,o1,3.0207510375518773,55.23249195686102,0.0
200,seam:1,o1,3.0210010500525026,55.232490693936086,0.0
200,seam:1,o1,3.021251062553128,55.23248943091878,0.0
200,seam:1,o1,3.0215010750537528,55.232488167809144,0.0
200,seam:1,o1,3.0217510875543776,55.23248690460718,0.0
200,seam:1,o1,3.022001100055003,55.2324856413129,0.0
200,seam:1,o1,3.0222511125556277,55.23248437792635,0.0
200,seam:1,o1,3.022501125056253,55.23248311444754,0.0
200,seam:1,o1,3.0227511375568774,55.23248185087648,0.0
200,seam:1,o1,3.0230011500575027,55.23248058721322,0.0
200,seam:1,o1,3.023251162558128,55.23247932345774,0.0
200,seam:1,o1,3.023501175058753,55.2324780596101,0.0
200,seam:1,o1,3.023751187559378,55.2324767956703,0.0
200,seam:1,o1,3.024001200060003,55.23247553163837,0.0
200,seam:1,o1,3.024251212560628,55.232474267514334,0.0
200,seam:1,o1,3.024501225061253,55.232473003298196,0.0
200,seam:1,o1,3.0247512375618784,55.23247173899002,0.0
200,seam:1,o1,3.025001250062503,55.23247047458977,0.0
200,seam:1,o1,3.025251262563128,55.2324692100975,0.0
200,seam:1,o1,3.0255012750637533,55.23246794551324,0.0
200,seam:1,o1,3.025751287564378,55.23246668083698,0.0
200,seam:1,o1,3.0260013000650035,55.23246541606878,0.0
200,seam:1,o1,3.026251312565628,55.232464151208646,0.0
200,seam:1,o1,3.026501325066253,55.232462886256585,0.0
200,seam:1,o1,3.0267513375668784,55.232461621212636,0.0
200,seam:1,o1,3.0270013500675033,55.23246035607683,0.0
200,seam:1,o1,3.0272513625681285,55.23245909084916,0.0
200,seam:1,o1,3.0275013750687534,55.23245782552968,0.0
200,seam:1,o1,3.0277513875693782,55.23245656011838,0.0
200,seam:1,o1,3.0280014000700035,55.23245529461532,0.0
200,seam:1,o1,3.028251412570629,55.232454029020495,0.0
200,seam:1,o1,3.0285014250712536,55.23245276333392,0.0
200,seam:1,o1,3.0287514375718785,55.232451497555644,0.0
200,seam:1,o1,3.0290014500725038,55.23245023168568,0.0
200,seam:1,o1,3.0292514625731286,55.232448965724046,0.0
200,seam:1,o1,3.029501475073754,55.23244769967077,0.0
200,seam:1,o1,3.0297514875743783,55.23244643352587,0.0
200,seam:1,o1,3.0300015000750036,55.23244516728938,0.0
200,seam:1,o1,3.030251512575629,55.2324439009613,0.0
200,seam:1,o1,3.0305015250762537,55.23244263454168,0.0
200,seam:1,o1,3.030751537576879,55.23244136803053,0.0
200,seam:1,o1,3.031001550077504,55.23244010142786,0.0
200,seam:1,o1,3.0312515625781287,55.23243883473371,0.0
200,seam:1,o1,3.031501575078754,55.232437567948104,0.0
200,seam:1,o1,3.0317515875793792,55.232436301071054,0.0
200,seam:1,o1,3.032001600080004,55.2324350341026,0.0
200,seam:1,o1,3.032251612580629,55.23243376704274,0.0
200,seam:1,o1,3.032501625081254,55.23243249989154,0.0
200,seam:1,o1,3.032751637581879,55.23243123264897,0.0
200,seam:1,o1,3.0330016500825043,55.23242996531509,0.0
200,seam:1,o1,3.0332516625831287,55.232428697889915,0.0
200,seam:1,o1,3.033501675083754,55.23242743037346,0.0
200,seam:1,o1,3.0337516875843793,55.23242616276577,0.0
200,seam:1,o1,3.034001700085004,55.232424895066835,0.0
200,seam:1,o1,3.0342517125856294,55.2324236272767,0.0
200,seam:1,o1,3.0345017250862543,55.23242235939539,0.0
200,seam:1,o1,3.034751737586879,55.232421091422935,0.0
200,seam:1,o1,3.0350017500875044,55.23241982335936,0.0
200,seam:1,o1,3.0352517625881297,55.23241855520465,0.0
200,seam:1,o1,3.0355017750887545,55.23241728695887,0.0
200,seam:1,o1,3.0357517875893794,55.23241601862205,0.0
200,seam:1,o1,3.0360018000900046,55.23241475019417,0.0
200,seam:1,o1,3.0362518125906295,55.232413481675295,0.0
200,seam:1,o1,3.0365018250912548,55.23241221306544,0.0
200,seam:1,o1,3.036751837591879,55.23241094436461,0.0
200,seam:1,o1,3.0370018500925045,55.232409675572846,0.0
200,seam:1,o1,3.0372518625931297,55.23240840669018,0.0
200,seam:1,o1,3.0375018750937546,55.23240713771662,0.0
