lead_length_um,max_abs_complex_s_difference_vs_400um,rms_complex_s_difference_vs_400um
100,0.00667066248798421,0.002298265320180122
150,0.004952386131598705,0.0016845074397783873
200,0.004296134467763331,0.001502112032720054
300,0.002028323104749465,0.000684264484846241
400,0.0,0.0
