ground_width_um,frequency_ghz,abs_St_o1_o1,abs_St_o2_o2,abs_St_o2_o1,abs_St_o1_o2,Re(Zpi_o1),Im(Zpi_o1),Re(Zpi_o2),Im(Zpi_o2),Re(Zpv_o1),Im(Zpv_o1),Re(Zpv_o2),Im(Zpv_o2),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(Gamma_o2),Im(Gamma_o2),beta_o2
40.0,3.0,0.0163317697564603,0.0163317697406895,0.999866627762308,0.999866627762308,53.16142791342475,0.0,51.63039534022725,0.0,46.14059455822883,0.0,47.52092309482089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00025001250063,0.01633176176151,0.0163317617457574,0.999866627892901,0.9998666278929,53.16142784263415,0.0,51.63039529746239,0.0,46.14059455686252,0.0,47.52092312509907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00050002500125,0.0163317537658949,0.0163317537501606,0.999866628023504,0.999866628023504,53.16142777183669,0.0,51.630395254694,0.0,46.140594555496094,0.0,47.52092315537977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00075003750187,0.016331745769615,0.0163317457538989,0.999866628154119,0.999866628154119,53.16142770103237,0.0,51.630395211922085,0.0,46.14059455412956,0.0,47.52092318566297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0010000500025,0.0163317377726702,0.0163317377569725,0.999866628284744,0.999866628284744,53.16142763022118,0.0,51.63039516914668,0.0,46.14059455276289,0.0,47.52092321594867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00125006250313,0.0163317297750609,0.0163317297593813,0.99986662841538,0.99986662841538,53.16142755940313,0.0,51.63039512636775,0.0,46.140594551396106,0.0,47.52092324623689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00150007500375,0.0163317217767866,0.0163317217611253,0.9998666285460268,0.999866628546027,53.16142748857823,0.0,51.6303950835853,0.0,46.14059455002921,0.0,47.52092327652761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00175008750437,0.0163317137778475,0.0163317137622045,0.999866628676685,0.999866628676685,53.16142741774645,0.0,51.63039504079933,0.0,46.14059454866219,0.0,47.520923306820826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.002000100005,0.0163317057782437,0.0163317057626189,0.999866628807353,0.999866628807353,53.16142734690782,0.0,51.63039499800984,0.0,46.14059454729505,0.0,47.52092333711656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0022501125056302,0.0163316977779751,0.0163316977623685,0.999866628938032,0.999866628938032,53.1614272760623,0.0,51.63039495521685,0.0,46.1405945459278,0.0,47.52092336741478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00250012500625,0.0163316897770416,0.0163316897614533,0.999866629068722,0.999866629068722,53.16142720520992,0.0,51.63039491242034,0.0,46.14059454456043,0.0,47.52092339771552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00275013750688,0.0163316817754434,0.0163316817598733,0.999866629199423,0.999866629199423,53.16142713435067,0.0,51.63039486962031,0.0,46.140594543192925,0.0,47.52092342801876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0030001500075,0.0163316737731804,0.0163316737576286,0.999866629330135,0.999866629330135,53.16142706348453,0.0,51.63039482681676,0.0,46.14059454182532,0.0,47.52092345832451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00325016250813,0.0163316657702526,0.016331665754719,0.999866629460857,0.999866629460857,53.16142699261154,0.0,51.63039478400972,0.0,46.14059454045758,0.0,47.52092348863276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00350017500875,0.01633165776666,0.0163316577511446,0.99986662959159,0.99986662959159,53.16142692173167,0.0,51.63039474119914,0.0,46.14059453908973,0.0,47.52092351894351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00375018750938,0.0163316497624026,0.0163316497469055,0.999866629722335,0.999866629722334,53.1614268508449,0.0,51.630394698385054,0.0,46.14059453772175,0.0,47.52092354925678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00400020001,0.0163316417574805,0.0163316417420016,0.9998666298530892,0.9998666298530892,53.161426779951256,0.0,51.63039465556744,0.0,46.14059453635366,0.0,47.52092357957254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00425021251063,0.0163316337518935,0.0163316337364328,0.9998666299838548,0.999866629983855,53.16142670905074,0.0,51.63039461274632,0.0,46.14059453498545,0.0,47.52092360989081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00450022501125,0.0163316257456418,0.0163316257301993,0.999866630114631,0.999866630114631,53.161426638143325,0.0,51.63039456992169,0.0,46.140594533617126,0.0,47.52092364021159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00475023751188,0.0163316177387253,0.016331617723301,0.9998666302454188,0.999866630245418,53.16142656722903,0.0,51.630394527093536,0.0,46.14059453224868,0.0,47.52092367053486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0050002500125,0.0163316097311439,0.0163316097157379,0.999866630376216,0.999866630376216,53.16142649630786,0.0,51.63039448426188,0.0,46.1405945308801,0.0,47.52092370086064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00525026251313,0.0163316017228978,0.0163316017075101,0.999866630507025,0.999866630507025,53.16142642537979,0.0,51.630394441426695,0.0,46.14059452951141,0.0,47.52092373118894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00550027501375,0.016331593713987,0.0163315936986174,0.999866630637845,0.999866630637845,53.16142635444483,0.0,51.630394398588,0.0,46.14059452814261,0.0,47.520923761519725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00575028751438,0.0163315857044113,0.0163315856890599,0.999866630768675,0.999866630768675,53.161426283502976,0.0,51.63039435574578,0.0,46.14059452677368,0.0,47.52092379185303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.006000300015,0.0163315776941708,0.0163315776788377,0.999866630899516,0.999866630899516,53.16142621255423,0.0,51.63039431290005,0.0,46.14059452540464,0.0,47.52092382218883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00625031251563,0.0163315696832656,0.0163315696679506,0.999866631030368,0.999866631030368,53.16142614159859,0.0,51.630394270050814,0.0,46.14059452403547,0.0,47.52092385252714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00650032501625,0.0163315616716956,0.0163315616563988,0.999866631161231,0.999866631161231,53.16142607063604,0.0,51.63039422719806,0.0,46.14059452266619,0.0,47.52092388286795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00675033751688,0.0163315536594607,0.0163315536441822,0.999866631292105,0.999866631292104,53.1614259996666,0.0,51.630394184341775,0.0,46.140594521296784,0.0,47.52092391321126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0070003500175,0.0163315456465611,0.0163315456313009,0.9998666314229891,0.9998666314229882,53.16142592869026,0.0,51.63039414148199,0.0,46.140594519927255,0.0,47.52092394355709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00725036251813,0.0163315376329968,0.0163315376177547,0.999866631553884,0.999866631553884,53.16142585770701,0.0,51.63039409861868,0.0,46.14059451855762,0.0,47.52092397390542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00750037501875,0.0163315296187676,0.0163315296035437,0.99986663168479,0.99986663168479,53.16142578671686,0.0,51.63039405575187,0.0,46.14059451718786,0.0,47.52092400425625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0077503875193794,0.0163315216038737,0.016331521588668,0.999866631815706,0.999866631815706,53.161425715719815,0.0,51.63039401288153,0.0,46.14059451581797,0.0,47.52092403460958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00800040002,0.0163315135883149,0.0163315135731275,0.999866631946634,0.999866631946634,53.16142564471584,0.0,51.63039397000768,0.0,46.140594514447976,0.0,47.52092406496543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00825041252063,0.0163315055720914,0.0163315055569221,0.999866632077572,0.999866632077572,53.16142557370497,0.0,51.63039392713032,0.0,46.14059451307785,0.0,47.52092409532377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00850042502125,0.0163314975552031,0.016331497540052,0.9998666322085208,0.9998666322085208,53.16142550268719,0.0,51.63039388424944,0.0,46.14059451170762,0.0,47.52092412568462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00875043752188,0.0163314895376501,0.0163314895225172,0.999866632339481,0.999866632339481,53.161425431662494,0.0,51.63039384136503,0.0,46.14059451033726,0.0,47.52092415604798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0090004500225,0.0163314815194322,0.0163314815043175,0.999866632470452,0.999866632470452,53.16142536063087,0.0,51.63039379847712,0.0,46.14059450896678,0.0,47.52092418641384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00925046252313,0.0163314735005496,0.016331473485453,0.999866632601433,0.999866632601433,53.16142528959234,0.0,51.6303937555857,0.0,46.14059450759618,0.0,47.5209242167822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00950047502375,0.0163314654810021,0.0163314654659238,0.999866632732425,0.999866632732425,53.16142521854689,0.0,51.63039371269076,0.0,46.14059450622547,0.0,47.52092424715308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.00975048752438,0.0163314574607899,0.0163314574457298,0.999866632863428,0.999866632863428,53.16142514749451,0.0,51.6303936697923,0.0,46.14059450485463,0.0,47.52092427752645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.0100005000250003,0.016331449439913,0.016331449424871,0.999866632994442,0.999866632994442,53.16142507643522,0.0,51.63039362689032,0.0,46.14059450348368,0.0,47.52092430790233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.01025051252563,0.0163314414183712,0.0163314414033475,0.9998666331254672,0.999866633125467,53.161425005369,0.0,51.630393583984834,0.0,46.140594502112606,0.0,47.52092433828071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,3.01050052502625,0.0163314333961647,0.0163314333811591,0.999866633256502,0.999866633256502,53.16142493429585,0.0,51.63039354107583,0.0,46.14059450074141,0.0,47.5209243686616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
