ground_width_um,frequency_ghz,S11_abs,S21_abs,Re(PortZo_o1),Im(PortZo_o1),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(PortZo_o2),Im(PortZo_o2),Re(Gamma_o2),Im(Gamma_o2),beta_o2
80.0,3.0,0.00114462870379783,0.999999344922456,52.617905833027,0.0,0.0,0.0,0.0,52.44539327784697,0.0,0.0,0.0,0.0
80.0,3.00025001250063,0.00114462850701825,0.999999344922668,52.617905778945996,0.0,0.0,0.0,0.0,52.445393723145884,0.0,0.0,0.0,0.0
80.0,3.00050002500125,0.00114462831022155,0.999999344922881,52.617905724860535,0.0,0.0,0.0,0.0,52.445394151049044,0.0,0.0,0.0,0.0
80.0,3.00075003750187,0.00114462811340773,0.9999993449230938,52.61790567077065,0.0,0.0,0.0,0.0,52.44539456239077,0.0,0.0,0.0,0.0
80.0,3.0010000500024994,0.00114462791657679,0.999999344923307,52.617905616676296,0.0,0.0,0.0,0.0,52.445394957952864,0.0,0.0,0.0,0.0
80.0,3.00125006250313,0.00114462771972873,0.99999934492352,52.61790556257752,0.0,0.0,0.0,0.0,52.44539533846865,0.0,0.0,0.0,0.0
80.0,3.00150007500375,0.00114462752286355,0.9999993449237319,52.617905508474294,0.0,0.0,0.0,0.0,52.4453957046267,0.0,0.0,0.0,0.0
80.0,3.00175008750437,0.00114462732598125,0.999999344923945,52.61790545436661,0.0,0.0,0.0,0.0,52.44539605707417,0.0,0.0,0.0,0.0
80.0,3.002000100005,0.0011446271290818397,0.999999344924158,52.61790540025449,0.0,0.0,0.0,0.0,52.44539639641989,0.0,0.0,0.0,0.0
80.0,3.0022501125056302,0.00114462693216532,0.999999344924371,52.61790534613793,0.0,0.0,0.0,0.0,52.44539672323712,0.0,0.0,0.0,0.0
80.0,3.00250012500625,0.00114462673523167,0.999999344924584,52.61790529201692,0.0,0.0,0.0,0.0,52.445397038066176,0.0,0.0,0.0,0.0
80.0,3.00275013750688,0.00114462653828092,0.999999344924797,52.61790523789146,0.0,0.0,0.0,0.0,52.44539734141672,0.0,0.0,0.0,0.0
80.0,3.0030001500075,0.00114462634131305,0.99999934492501,52.61790518376156,0.0,0.0,0.0,0.0,52.4453976337699,0.0,0.0,0.0,0.0
80.0,3.00325016250813,0.00114462614432807,0.999999344925223,52.61790512962722,0.0,0.0,0.0,0.0,52.44539791558031,0.0,0.0,0.0,0.0
80.0,3.00350017500875,0.00114462594732598,0.999999344925436,52.61790507548844,0.0,0.0,0.0,0.0,52.445398187277846,0.0,0.0,0.0,0.0
80.0,3.00375018750938,0.0011446257503067703,0.999999344925649,52.617905021345216,0.0,0.0,0.0,0.0,52.445398449269334,0.0,0.0,0.0,0.0
80.0,3.00400020001,0.00114462555327046,0.999999344925863,52.617904967197525,0.0,0.0,0.0,0.0,52.44539870194001,0.0,0.0,0.0,0.0
80.0,3.00425021251063,0.00114462535621704,0.999999344926076,52.6179049130454,0.0,0.0,0.0,0.0,52.445398945654986,0.0,0.0,0.0,0.0
80.0,3.00450022501125,0.00114462515914651,0.999999344926289,52.61790485888884,0.0,0.0,0.0,0.0,52.445399180760575,0.0,0.0,0.0,0.0
80.0,3.00475023751188,0.00114462496205887,0.999999344926502,52.617904804727836,0.0,0.0,0.0,0.0,52.44539940758541,0.0,0.0,0.0,0.0
80.0,3.0050002500125,0.0011446247649541303,0.999999344926715,52.61790475056238,0.0,0.0,0.0,0.0,52.4453996264416,0.0,0.0,0.0,0.0
80.0,3.00525026251313,0.00114462456783228,0.999999344926928,52.61790469639249,0.0,0.0,0.0,0.0,52.44539983762577,0.0,0.0,0.0,0.0
80.0,3.00550027501375,0.0011446243706933197,0.9999993449271419,52.61790464221815,0.0,0.0,0.0,0.0,52.44540004141995,0.0,0.0,0.0,0.0
80.0,3.00575028751438,0.00114462417353726,0.999999344927355,52.61790458803935,0.0,0.0,0.0,0.0,52.44540023809255,0.0,0.0,0.0,0.0
80.0,3.006000300015,0.0011446239763641,0.9999993449275681,52.617904533856134,0.0,0.0,0.0,0.0,52.44540042789908,0.0,0.0,0.0,0.0
80.0,3.00625031251563,0.00114462377917384,0.999999344927782,52.617904479668454,0.0,0.0,0.0,0.0,52.445400611082995,0.0,0.0,0.0,0.0
80.0,3.00650032501625,0.0011446235819664702,0.999999344927995,52.61790442547634,0.0,0.0,0.0,0.0,52.44540078787633,0.0,0.0,0.0,0.0
80.0,3.00675033751688,0.001144623384742,0.999999344928208,52.61790437127978,0.0,0.0,0.0,0.0,52.44540095850042,0.0,0.0,0.0,0.0
80.0,3.0070003500175,0.00114462318750043,0.999999344928422,52.61790431707877,0.0,0.0,0.0,0.0,52.44540112316648,0.0,0.0,0.0,0.0
80.0,3.00725036251813,0.0011446229902417602,0.999999344928635,52.6179042628733,0.0,0.0,0.0,0.0,52.445401282076155,0.0,0.0,0.0,0.0
80.0,3.00750037501875,0.001144622792966,0.999999344928849,52.617904208663425,0.0,0.0,0.0,0.0,52.44540143542212,0.0,0.0,0.0,0.0
80.0,3.0077503875193794,0.00114462259567313,0.999999344929062,52.61790415444908,0.0,0.0,0.0,0.0,52.44540158338853,0.0,0.0,0.0,0.0
80.0,3.00800040002,0.00114462239836317,0.999999344929276,52.6179041002303,0.0,0.0,0.0,0.0,52.445401726151445,0.0,0.0,0.0,0.0
80.0,3.00825041252063,0.0011446222010361102,0.999999344929489,52.61790404600707,0.0,0.0,0.0,0.0,52.44540186387937,0.0,0.0,0.0,0.0
80.0,3.00850042502125,0.0011446220036919503,0.999999344929703,52.6179039917794,0.0,0.0,0.0,0.0,52.445401996733565,0.0,0.0,0.0,0.0
80.0,3.00875043752188,0.0011446218063307,0.999999344929916,52.61790393754728,0.0,0.0,0.0,0.0,52.4454021248685,0.0,0.0,0.0,0.0
80.0,3.0090004500225,0.0011446216089523599,0.99999934493013,52.61790388331071,0.0,0.0,0.0,0.0,52.445402248432146,0.0,0.0,0.0,0.0
80.0,3.00925046252313,0.00114462141155692,0.999999344930344,52.617903829069725,0.0,0.0,0.0,0.0,52.44540236756635,0.0,0.0,0.0,0.0
80.0,3.00950047502375,0.00114462121414439,0.999999344930557,52.61790377482427,0.0,0.0,0.0,0.0,52.445402482407154,0.0,0.0,0.0,0.0
80.0,3.00975048752438,0.00114462101671477,0.9999993449307711,52.617903720574375,0.0,0.0,0.0,0.0,52.44540259308506,0.0,0.0,0.0,0.0
80.0,3.0100005000250003,0.00114462081926806,0.999999344930985,52.617903666320046,0.0,0.0,0.0,0.0,52.44540269972534,0.0,0.0,0.0,0.0
80.0,3.01025051252563,0.00114462062180426,0.999999344931198,52.61790361206127,0.0,0.0,0.0,0.0,52.445402802448285,0.0,0.0,0.0,0.0
80.0,3.01050052502625,0.00114462042432337,0.999999344931412,52.61790355779804,0.0,0.0,0.0,0.0,52.4454029013694,0.0,0.0,0.0,0.0
80.0,3.01075053752688,0.00114462022682539,0.9999993449316261,52.617903503530385,0.0,0.0,0.0,0.0,52.445402996599746,0.0,0.0,0.0,0.0
80.0,3.0110005500275,0.00114462002931032,0.9999993449318398,52.617903449258264,0.0,0.0,0.0,0.0,52.44540308824605,0.0,0.0,0.0,0.0
80.0,3.01125056252813,0.00114461983177816,0.999999344932054,52.61790339498171,0.0,0.0,0.0,0.0,52.445403176410984,0.0,0.0,0.0,0.0
80.0,3.01150057502875,0.00114461963422892,0.9999993449322682,52.617903340700714,0.0,0.0,0.0,0.0,52.44540326119333,0.0,0.0,0.0,0.0
80.0,3.01175058752938,0.00114461943666259,0.999999344932482,52.61790328641527,0.0,0.0,0.0,0.0,52.4454033426881,0.0,0.0,0.0,0.0
80.0,3.01200060003,0.0011446192390791802,0.999999344932695,52.617903232125386,0.0,0.0,0.0,0.0,52.44540342098685,0.0,0.0,0.0,0.0
80.0,3.01225061253063,0.00114461904147868,0.999999344932909,52.617903177831046,0.0,0.0,0.0,0.0,52.44540349617771,0.0,0.0,0.0,0.0
80.0,3.01250062503125,0.0011446188438611,0.999999344933123,52.61790312353227,0.0,0.0,0.0,0.0,52.445403568345625,0.0,0.0,0.0,0.0
