ground_width_um,frequency_ghz,abs_St_o1_o1,abs_St_o2_o2,abs_St_o2_o1,abs_St_o1_o2,Re(Zpi_o1),Im(Zpi_o1),Re(Zpi_o2),Im(Zpi_o2),Re(Zpv_o1),Im(Zpv_o1),Re(Zpv_o2),Im(Zpv_o2),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(Gamma_o2),Im(Gamma_o2),beta_o2
80.0,3.0,0.0011446287037282,0.0011446286820549,0.9999993449232952,0.9999993449232952,52.617905833027,0.0,52.44539327784697,0.0,47.64602707216225,0.0,47.75603989492036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.00025001250063,0.0011446285069178,0.001144628485079,0.999999344923509,0.9999993449235092,52.617905778946,0.0,52.44539372314589,0.0,47.64602700914459,0.0,47.75603994844854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.00050002500125,0.0011446283100903,0.0011446282880865,0.999999344923723,0.999999344923723,52.617905724860535,0.0,52.44539415104904,0.0,47.64602694612172,0.0,47.75604000198116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.00075003750187,0.0011446281132458,0.0011446280910773,0.999999344923937,0.999999344923937,52.61790567077065,0.0,52.44539456239077,0.0,47.64602688309362,0.0,47.75604005551819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.0010000500025,0.0011446279163842,0.0011446278940515,0.999999344924151,0.99999934492415,52.617905616676296,0.0,52.445394957952864,0.0,47.646026820060285,0.0,47.75604010905965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.00125006250313,0.0011446277195056,0.0011446276970091,0.999999344924364,0.999999344924364,52.61790556257752,0.0,52.44539533846865,0.0,47.646026757021744,0.0,47.75604016260554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.00150007500375,0.0011446275226099,0.00114462749995,0.999999344924578,0.999999344924578,52.61790550847429,0.0,52.4453957046267,0.0,47.64602669397798,0.0,47.756040216155846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.00175008750437,0.0011446273256971,0.0011446273028744,0.999999344924792,0.999999344924792,52.61790545436661,0.0,52.44539605707417,0.0,47.64602663092898,0.0,47.756040269710574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.002000100005,0.0011446271287673,0.001144627105782,0.999999344925006,0.999999344925006,52.61790540025449,0.0,52.44539639641989,0.0,47.64602656787476,0.0,47.75604032326973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,3.0022501125056302,0.0011446269318204,0.0011446269086731,0.99999934492522,0.99999934492522,52.61790534613793,0.0,52.44539672323712,0.0,47.646026504815325,0.0,47.75604037683332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
