ground_width_um,frequency_ghz,abs_St_o1_o1,abs_St_o2_o2,abs_St_o2_o1,abs_St_o1_o2,Re(Zpi_o1),Im(Zpi_o1),Re(Zpi_o2),Im(Zpi_o2),Re(Zpv_o1),Im(Zpv_o1),Re(Zpv_o2),Im(Zpv_o2),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(Gamma_o2),Im(Gamma_o2),beta_o2
20.0,3.0,0.0018965181743553,0.0018965181676851,0.999998201603804,0.999998201603804,51.03992479956132,0.0,51.46639363665072,0.0,46.84594594561484,0.0,46.69688498671512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.00025001250063,0.0018965649534314,0.0018965649467655,0.999998201515085,0.999998201515085,51.03992190092671,0.0,51.46639358277838,0.0,46.84594596625406,0.0,46.69688496276753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.00050002500125,0.0018966117352209,0.0018966117285593,0.999998201426359,0.999998201426359,51.039918927091534,0.0,51.466393528901975,0.0,46.84594598689499,0.0,46.69688493881794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.00075003750187,0.0018966585197234,0.0018966585130661,0.9999982013376252,0.999998201337625,51.03991587497776,0.0,51.4663934750215,0.0,46.84594600753762,0.0,46.69688491486637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.0010000500025,0.0018967053069389,0.0018967053002858,0.999998201248884,0.999998201248884,51.03991274133704,0.0,51.46639342113696,0.0,46.84594602818196,0.0,46.69688489091282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.00125006250313,0.001896752096867,0.0018967520902183,0.999998201160136,0.999998201160136,51.03990952273871,0.0,51.46639336724834,0.0,46.845946048828,0.0,46.69688486695728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.00150007500375,0.0018967988895076,0.0018967988828631,0.99999820107138,0.99999820107138,51.03990621555696,0.0,51.46639331335566,0.0,46.84594606947576,0.0,46.69688484299977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.00175008750437,0.0018968456848605,0.0018968456782203,0.9999982009826168,0.999998200982617,51.03990281595656,0.0,51.46639325945892,0.0,46.84594609012522,0.0,46.69688481904026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.002000100005,0.0018968924829255,0.0018968924762895,0.999998200893847,0.999998200893847,51.03989931987768,0.0,51.46639320555809,0.0,46.84594611077637,0.0,46.69688479507877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.0022501125056302,0.0018969392837023,0.0018969392770705,0.999998200805069,0.999998200805069,51.03989572301909,0.0,51.466393151653214,0.0,46.84594613142926,0.0,46.69688477111531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
