ground_width_um,frequency_ghz,S11_abs,S21_abs,Re(PortZo_o1),Im(PortZo_o1),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(PortZo_o2),Im(PortZo_o2),Re(Gamma_o2),Im(Gamma_o2),beta_o2
10.0,3.0,0.00338571582115014,0.999994268443865,49.4137611995111,0.0,0.0,0.0,0.0,49.97704713237997,0.0,0.0,0.0,0.0
10.0,3.00025001250063,0.00338574362267203,0.999994268349739,49.4137611931882,0.0,0.0,0.0,0.0,49.97703581600798,0.0,0.0,0.0,0.0
10.0,3.00050002500125,0.00338577142626542,0.999994268255606,49.413761186864654,0.0,0.0,0.0,0.0,49.977023837987986,0.0,0.0,0.0,0.0
10.0,3.00075003750187,0.00338579923193025,0.999994268161464,49.4137611805405,0.0,0.0,0.0,0.0,49.97701113750739,0.0,0.0,0.0,0.0
10.0,3.0010000500024994,0.00338582703966647,0.999994268067315,49.4137611742157,0.0,0.0,0.0,0.0,49.97699764606543,0.0,0.0,0.0,0.0
10.0,3.00125006250313,0.00338585484947402,0.999994267973158,49.41376116789029,0.0,0.0,0.0,0.0,49.976983286218534,0.0,0.0,0.0,0.0
10.0,3.00150007500375,0.00338588266135285,0.9999942678789941,49.413761161564246,0.0,0.0,0.0,0.0,49.9769679700718,0.0,0.0,0.0,0.0
10.0,3.00175008750437,0.00338591047530291,0.9999942677848221,49.41376115523758,0.0,0.0,0.0,0.0,49.9769515974543,0.0,0.0,0.0,0.0
10.0,3.002000100005,0.00338593829132413,0.999994267690641,49.41376114891028,0.0,0.0,0.0,0.0,49.976934053698365,0.0,0.0,0.0,0.0
10.0,3.0022501125056302,0.00338596610941646,0.999994267596454,49.413761142582366,0.0,0.0,0.0,0.0,49.97691520691868,0.0,0.0,0.0,0.0
10.0,3.00250012500625,0.0033859939295798505,0.9999942675022578,49.41376113625381,0.0,0.0,0.0,0.0,49.97689490465469,0.0,0.0,0.0,0.0
10.0,3.00275013750688,0.00338602175181424,0.999994267408054,49.41376112992463,0.0,0.0,0.0,0.0,49.97687296969529,0.0,0.0,0.0,0.0
10.0,3.0030001500075,0.00338604957611957,0.9999942673138429,49.41376112359483,0.0,0.0,0.0,0.0,49.976849194843915,0.0,0.0,0.0,0.0
10.0,3.00325016250813,0.0033860774024958005,0.999994267219624,49.4137611172644,0.0,0.0,0.0,0.0,49.976823336296114,0.0,0.0,0.0,0.0
10.0,3.00350017500875,0.00338610523094286,0.999994267125397,49.41376111093334,0.0,0.0,0.0,0.0,49.976795105181075,0.0,0.0,0.0,0.0
10.0,3.00375018750938,0.0033861330614607,0.999994267031162,49.413761104601654,0.0,0.0,0.0,0.0,49.97676415664412,0.0,0.0,0.0,0.0
10.0,3.00400020001,0.00338616089404927,0.99999426693692,49.41376109826934,0.0,0.0,0.0,0.0,49.976730075593885,0.0,0.0,0.0,0.0
10.0,3.00425021251063,0.0033861887287084994,0.9999942668426701,49.4137610919364,0.0,0.0,0.0,0.0,49.976692357861594,0.0,0.0,0.0,0.0
10.0,3.00450022501125,0.00338621656543835,0.999994266748412,49.413761085602836,0.0,0.0,0.0,0.0,49.97665038495177,0.0,0.0,0.0,0.0
10.0,3.00475023751188,0.0033862444042387597,0.999994266654146,49.413761079268646,0.0,0.0,0.0,0.0,49.976603389688364,0.0,0.0,0.0,0.0
10.0,3.0050002500125,0.0033862722451096696,0.9999942665598719,49.41376107293383,0.0,0.0,0.0,0.0,49.976550408681334,0.0,0.0,0.0,0.0
10.0,3.00525026251313,0.00338630008805102,0.999994266465591,49.41376106659838,0.0,0.0,0.0,0.0,49.976490215311735,0.0,0.0,0.0,0.0
10.0,3.00550027501375,0.00338632793306278,0.999994266371302,49.41376106026231,0.0,0.0,0.0,0.0,49.976421223237224,0.0,0.0,0.0,0.0
10.0,3.00575028751438,0.00338635578014486,0.999994266277005,49.41376105392561,0.0,0.0,0.0,0.0,49.97634134409164,0.0,0.0,0.0,0.0
10.0,3.006000300015,0.00338638362929723,0.9999942661827,49.41376104758828,0.0,0.0,0.0,0.0,49.97624777183127,0.0,0.0,0.0,0.0
10.0,3.00625031251563,0.00338641148051983,0.999994266088387,49.413761041250325,0.0,0.0,0.0,0.0,49.97613664546697,0.0,0.0,0.0,0.0
10.0,3.00650032501625,0.0033864393338126,0.999994265994067,49.413761034911744,0.0,0.0,0.0,0.0,49.9760025018694,0.0,0.0,0.0,0.0
10.0,3.00675033751688,0.00338646718917548,0.999994265899739,49.41376102857254,0.0,0.0,0.0,0.0,49.975837348559324,0.0,0.0,0.0,0.0
10.0,3.0070003500175,0.00338649504660843,0.999994265805403,49.4137610222327,0.0,0.0,0.0,0.0,49.97562900828271,0.0,0.0,0.0,0.0
10.0,3.00725036251813,0.00338652290611138,0.999994265711059,49.41376101589224,0.0,0.0,0.0,0.0,49.97535796762482,0.0,0.0,0.0,0.0
10.0,3.00750037501875,0.00338655076768428,0.999994265616708,49.413761009551145,0.0,0.0,0.0,0.0,49.97499087283595,0.0,0.0,0.0,0.0
10.0,3.0077503875193794,0.0033865786313270795,0.999994265522349,49.41376100320943,0.0,0.0,0.0,0.0,49.97446561432326,0.0,0.0,0.0,0.0
10.0,3.00800040002,0.00338660649703971,0.999994265427982,49.413760996867076,0.0,0.0,0.0,0.0,49.97365182229362,0.0,0.0,0.0,0.0
10.0,3.00825041252063,0.00338663436482213,0.999994265333607,49.4137609905241,0.0,0.0,0.0,0.0,49.972221565438915,0.0,0.0,0.0,0.0
10.0,3.00850042502125,0.00338666223467428,0.999994265239224,49.413760984180506,0.0,0.0,0.0,0.0,49.969046874475666,0.0,0.0,0.0,0.0
10.0,3.00875043752188,0.0033866901065960995,0.999994265144834,49.413760977836276,0.0,0.0,0.0,0.0,49.95594532813997,0.0,0.0,0.0,0.0
10.0,3.0090004500225,0.0033867179805875404,0.999994265050436,49.41376097149142,0.0,0.0,0.0,0.0,50.01554403548345,0.0,0.0,0.0,0.0
10.0,3.00925046252313,0.00338674585664854,0.999994264956029,49.41376096514594,0.0,0.0,0.0,0.0,49.98752444504388,0.0,0.0,0.0,0.0
10.0,3.00950047502375,0.00338677373477905,0.999994264861616,49.413760958799834,0.0,0.0,0.0,0.0,49.98324587356354,0.0,0.0,0.0,0.0
10.0,3.00975048752438,0.0033868016149790096,0.999994264767194,49.41376095245309,0.0,0.0,0.0,0.0,49.981513639426566,0.0,0.0,0.0,0.0
