ground_width_um,frequency_ghz,abs_St_o1_o1,abs_St_o2_o2,abs_St_o2_o1,abs_St_o1_o2,Re(Zpi_o1),Im(Zpi_o1),Re(Zpi_o2),Im(Zpi_o2),Re(Zpv_o1),Im(Zpv_o1),Re(Zpv_o2),Im(Zpv_o2),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(Gamma_o2),Im(Gamma_o2),beta_o2
160.0,3.0,0.0090733266355001,0.0090733266259734,0.9999588365198973,0.9999588365198973,52.10373827772582,0.0,53.03429442527078,0.0,47.86358441425315,0.0,47.00500499199317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00025001250063,0.0090733307319357,0.0090733307216425,0.999958836482744,0.999958836482744,52.10373827106186,0.0,53.03429441914304,0.0,47.86358438249707,0.0,47.00500493686873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00050002500125,0.0090733348286623,0.009073334817648,0.999958836445588,0.999958836445587,52.10373826439736,0.0,53.034294413014784,0.0,47.86358435073836,0.0,47.00500488173972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00075003750187,0.0090733389256794,0.0090733389139901,0.999958836408428,0.999958836408428,52.103738257732346,0.0,53.034294406886026,0.0,47.86358431897701,0.0,47.00500482660614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.0010000500025,0.0090733430229864,0.0090733430106686,0.999958836371265,0.999958836371265,52.1037382510668,0.0,53.03429440075677,0.0,47.86358428721303,0.0,47.00500477146798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00125006250313,0.0090733471205828,0.0090733471076836,0.9999588363341,0.9999588363341,52.10373824440071,0.0,53.03429439462699,0.0,47.863584255446405,0.0,47.005004716325246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00150007500375,0.009073351218468,0.0090733512050351,0.999958836296931,0.999958836296931,52.103738237734106,0.0,53.03429438849672,0.0,47.86358422367716,0.0,47.00500466117796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00175008750437,0.0090733553166415,0.0090733553027231,0.999958836259759,0.999958836259759,52.10373823106698,0.0,53.03429438236593,0.0,47.86358419190527,0.0,47.00500460602608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.002000100005,0.0090733594151028,0.0090733594007475,0.999958836222584,0.999958836222584,52.1037382243993,0.0,53.034294376234655,0.0,47.863584160130735,0.0,47.00500455086964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.0022501125056302,0.0090733635138513,0.0090733634991084,0.999958836185406,0.999958836185406,52.1037382177311,0.0,53.03429437010286,0.0,47.86358412835357,0.0,47.00500449570862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00250012500625,0.0090733676128866,0.0090733675978057,0.9999588361482252,0.999958836148225,52.10373821106238,0.0,53.03429436397057,0.0,47.86358409657378,0.0,47.00500444054303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00275013750688,0.0090733717122082,0.0090733716968396,0.999958836111041,0.999958836111041,52.103738204393125,0.0,53.03429435783777,0.0,47.86358406479135,0.0,47.005004385372864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.0030001500075,0.0090733758118154,0.0090733757962099,0.999958836073854,0.999958836073854,52.10373819772334,0.0,53.03429435170447,0.0,47.86358403300628,0.0,47.00500433019813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00325016250813,0.009073379911708,0.0090733798959166,0.999958836036664,0.999958836036663,52.10373819105303,0.0,53.03429434557066,0.0,47.86358400121857,0.0,47.00500427501882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00350017500875,0.0090733840118854,0.0090733839959598,0.99995883599947,0.99995883599947,52.10373818438219,0.0,53.034294339436336,0.0,47.86358396942824,0.0,47.00500421983493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00375018750938,0.0090733881123471,0.0090733880963395,0.999958835962274,0.999958835962274,52.10373817771081,0.0,53.03429433330152,0.0,47.86358393763526,0.0,47.00500416464648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00400020001,0.0090733922130927,0.0090733921970557,0.999958835925074,0.999958835925074,52.103738171038906,0.0,53.0342943271662,0.0,47.86358390583965,0.0,47.00500410945346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00425021251063,0.0090733963141217,0.0090733962981083,0.999958835887872,0.999958835887872,52.10373816436649,0.0,53.03429432103036,0.0,47.8635838740414,0.0,47.005004054255856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00450022501125,0.0090734004154338,0.0090734003994974,0.999958835850666,0.999958835850666,52.10373815769353,0.0,53.03429431489403,0.0,47.86358384224052,0.0,47.00500399905367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00475023751188,0.0090734045170285,0.0090734045012229,0.999958835813458,0.999958835813458,52.10373815102004,0.0,53.03429430875719,0.0,47.86358381043701,0.0,47.00500394384694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.0050002500125,0.0090734086189055,0.0090734086032849,0.999958835776246,0.999958835776246,52.103738144346025,0.0,53.03429430261984,0.0,47.86358377863086,0.0,47.00500388863561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,3.00525026251313,0.0090734127210643,0.0090734127056833,0.999958835739031,0.999958835739031,52.10373813767147,0.0,53.03429429648199,0.0,47.86358374682207,0.0,47.00500383341973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
