ground_width_um,frequency_ghz,S11_abs,S21_abs,Re(PortZo_o1),Im(PortZo_o1),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(PortZo_o2),Im(PortZo_o2),Re(Gamma_o2),Im(Gamma_o2),beta_o2
40.0,3.0,0.016331769754517,0.9998666277603488,53.16142791342475,0.0,0.0,0.0,0.0,51.63039534022725,0.0,0.0,0.0,0.0
40.0,3.00025001250063,0.0163317617595702,0.999866627890942,53.16142784277276,0.0,0.0,0.0,0.0,51.63039529746206,0.0,0.0,0.0,0.0
40.0,3.00050002500125,0.0163317537639587,0.999866628021546,53.16142777211412,0.0,0.0,0.0,0.0,51.630395254693376,0.0,0.0,0.0,0.0
40.0,3.00075003750187,0.0163317457676823,0.9998666281521609,53.16142770144883,0.0,0.0,0.0,0.0,51.630395211921154,0.0,0.0,0.0,0.0
40.0,3.0010000500024994,0.016331737770741196,0.999866628282787,53.161427630776906,0.0,0.0,0.0,0.0,51.630395169145416,0.0,0.0,0.0,0.0
40.0,3.00125006250313,0.016331729773135198,0.999866628413423,53.16142756009833,0.0,0.0,0.0,0.0,51.63039512636617,0.0,0.0,0.0,0.0
40.0,3.00150007500375,0.0163317217748645,0.99986662854407,53.161427489413114,0.0,0.0,0.0,0.0,51.6303950835834,0.0,0.0,0.0,0.0
40.0,3.00175008750437,0.016331713775929,0.999866628674729,53.16142741872124,0.0,0.0,0.0,0.0,51.63039504079712,0.0,0.0,0.0,0.0
40.0,3.002000100005,0.0163317057763286,0.999866628805397,53.16142734802273,0.0,0.0,0.0,0.0,51.63039499800733,0.0,0.0,0.0,0.0
40.0,3.0022501125056302,0.0163316977760635,0.999866628936077,53.16142727731755,0.0,0.0,0.0,0.0,51.63039495521402,0.0,0.0,0.0,0.0
40.0,3.00250012500625,0.0163316897751336,0.999866629066767,53.16142720660574,0.0,0.0,0.0,0.0,51.63039491241719,0.0,0.0,0.0,0.0
40.0,3.00275013750688,0.0163316817735389,0.999866629197469,53.161427135887266,0.0,0.0,0.0,0.0,51.63039486961685,0.0,0.0,0.0,0.0
40.0,3.0030001500075,0.0163316737712795,0.999866629328181,53.16142706516212,0.0,0.0,0.0,0.0,51.63039482681299,0.0,0.0,0.0,0.0
40.0,3.00325016250813,0.0163316657683552,0.999866629458904,53.16142699443035,0.0,0.0,0.0,0.0,51.63039478400562,0.0,0.0,0.0,0.0
40.0,3.00350017500875,0.0163316577647661,0.9998666295896371,53.1614269236919,0.0,0.0,0.0,0.0,51.63039474119473,0.0,0.0,0.0,0.0
40.0,3.00375018750938,0.0163316497605123,0.999866629720382,53.16142685294681,0.0,0.0,0.0,0.0,51.63039469838032,0.0,0.0,0.0,0.0
40.0,3.00400020001,0.0163316417555937,0.999866629851137,53.16142678219505,0.0,0.0,0.0,0.0,51.630394655562405,0.0,0.0,0.0,0.0
40.0,3.00425021251063,0.0163316337500102,0.999866629981903,53.16142671143663,0.0,0.0,0.0,0.0,51.63039461274096,0.0,0.0,0.0,0.0
40.0,3.00450022501125,0.016331625743762,0.99986663011268,53.16142664067155,0.0,0.0,0.0,0.0,51.63039456991603,0.0,0.0,0.0,0.0
40.0,3.00475023751188,0.016331617736849,0.999866630243468,53.161426569899795,0.0,0.0,0.0,0.0,51.63039452708755,0.0,0.0,0.0,0.0
40.0,3.0050002500125,0.0163316097292712,0.999866630374266,53.1614264991214,0.0,0.0,0.0,0.0,51.63039448425557,0.0,0.0,0.0,0.0
40.0,3.00525026251313,0.0163316017210287,0.999866630505075,53.16142642833632,0.0,0.0,0.0,0.0,51.63039444142008,0.0,0.0,0.0,0.0
40.0,3.00550027501375,0.0163315937121213,0.999866630635895,53.161426357544585,0.0,0.0,0.0,0.0,51.63039439858107,0.0,0.0,0.0,0.0
40.0,3.00575028751438,0.0163315857025491,0.999866630766726,53.16142628674617,0.0,0.0,0.0,0.0,51.63039435573854,0.0,0.0,0.0,0.0
40.0,3.006000300015,0.0163315776923122,0.999866630897567,53.1614262159411,0.0,0.0,0.0,0.0,51.63039431289249,0.0,0.0,0.0,0.0
40.0,3.00625031251563,0.016331569681410498,0.99986663102842,53.161426145129354,0.0,0.0,0.0,0.0,51.630394270042935,0.0,0.0,0.0,0.0
40.0,3.00650032501625,0.016331561669844,0.999866631159283,53.161426074310924,0.0,0.0,0.0,0.0,51.63039422718987,0.0,0.0,0.0,0.0
40.0,3.00675033751688,0.0163315536576127,0.9998666312901568,53.161426003485836,0.0,0.0,0.0,0.0,51.63039418433327,0.0,0.0,0.0,0.0
40.0,3.0070003500175,0.0163315456447166,0.9998666314210412,53.16142593265406,0.0,0.0,0.0,0.0,51.63039414147317,0.0,0.0,0.0,0.0
40.0,3.00725036251813,0.0163315376311558,0.999866631551937,53.16142586181562,0.0,0.0,0.0,0.0,51.63039409860956,0.0,0.0,0.0,0.0
40.0,3.00750037501875,0.0163315296169301,0.999866631682844,53.1614257909705,0.0,0.0,0.0,0.0,51.630394055742414,0.0,0.0,0.0,0.0
40.0,3.0077503875193794,0.0163315216020397,0.9998666318137611,53.16142572011871,0.0,0.0,0.0,0.0,51.630394012871776,0.0,0.0,0.0,0.0
40.0,3.00800040002,0.0163315135864845,0.999866631944689,53.16142564926022,0.0,0.0,0.0,0.0,51.6303939699976,0.0,0.0,0.0,0.0
40.0,3.00825041252063,0.0163315055702645,0.999866632075627,53.16142557839506,0.0,0.0,0.0,0.0,51.630393927119925,0.0,0.0,0.0,0.0
40.0,3.00850042502125,0.0163314975533797,0.9998666322065769,53.16142550752322,0.0,0.0,0.0,0.0,51.63039388423872,0.0,0.0,0.0,0.0
40.0,3.00875043752188,0.016331489535830204,0.999866632337537,53.16142543664469,0.0,0.0,0.0,0.0,51.630393841354014,0.0,0.0,0.0,0.0
40.0,3.0090004500225,0.016331481517615903,0.9998666324685082,53.16142536575947,0.0,0.0,0.0,0.0,51.63039379846579,0.0,0.0,0.0,0.0
40.0,3.00925046252313,0.0163314734987367,0.99986663259949,53.16142529486759,0.0,0.0,0.0,0.0,51.63039375557405,0.0,0.0,0.0,0.0
40.0,3.00950047502375,0.0163314654791928,0.999866632730483,53.161425223969005,0.0,0.0,0.0,0.0,51.63039371267879,0.0,0.0,0.0,0.0
40.0,3.00975048752438,0.0163314574589842,0.9998666328614859,53.16142515306373,0.0,0.0,0.0,0.0,51.63039366978002,0.0,0.0,0.0,0.0
40.0,3.0100005000250003,0.0163314494381107,0.9998666329925,53.16142508215177,0.0,0.0,0.0,0.0,51.63039362687773,0.0,0.0,0.0,0.0
40.0,3.01025051252563,0.0163314414165725,0.999866633123526,53.16142501123312,0.0,0.0,0.0,0.0,51.63039358397194,0.0,0.0,0.0,0.0
40.0,3.01050052502625,0.0163314333943695,0.999866633254561,53.16142494030777,0.0,0.0,0.0,0.0,51.63039354106262,0.0,0.0,0.0,0.0
40.0,3.01075053752688,0.0163314253715017,0.999866633385608,53.16142486937573,0.0,0.0,0.0,0.0,51.63039349814977,0.0,0.0,0.0,0.0
40.0,3.0110005500275,0.0163314173479691,0.999866633516665,53.16142479843698,0.0,0.0,0.0,0.0,51.63039345523344,0.0,0.0,0.0,0.0
40.0,3.01125056252813,0.0163314093237717,0.999866633647734,53.16142472749156,0.0,0.0,0.0,0.0,51.630393412313566,0.0,0.0,0.0,0.0
40.0,3.01150057502875,0.0163314012989096,0.999866633778813,53.16142465653944,0.0,0.0,0.0,0.0,51.63039336939019,0.0,0.0,0.0,0.0
40.0,3.01175058752938,0.016331393273382698,0.999866633909903,53.161424585580605,0.0,0.0,0.0,0.0,51.630393326463306,0.0,0.0,0.0,0.0
40.0,3.01200060003,0.016331385247191,0.9998666340410031,53.16142451461508,0.0,0.0,0.0,0.0,51.63039328353288,0.0,0.0,0.0,0.0
40.0,3.01225061253063,0.0163313772203346,0.999866634172114,53.161424443642844,0.0,0.0,0.0,0.0,51.63039324059897,0.0,0.0,0.0,0.0
40.0,3.01250062503125,0.0163313691928133,0.999866634303237,53.161424372663916,0.0,0.0,0.0,0.0,51.630393197661526,0.0,0.0,0.0,0.0
40.0,3.01275063753188,0.0163313611646273,0.99986663443437,53.16142430167828,0.0,0.0,0.0,0.0,51.63039315472058,0.0,0.0,0.0,0.0
40.0,3.0130006500325,0.0163313531357765,0.999866634565513,53.16142423068594,0.0,0.0,0.0,0.0,51.63039311177611,0.0,0.0,0.0,0.0
40.0,3.01325066253313,0.016331345106261,0.999866634696668,53.161424159686874,0.0,0.0,0.0,0.0,51.63039306882812,0.0,0.0,0.0,0.0
40.0,3.01350067503375,0.0163313370760806,0.9998666348278331,53.161424088681116,0.0,0.0,0.0,0.0,51.63039302587663,0.0,0.0,0.0,0.0
40.0,3.01375068753438,0.016331329045235498,0.99986663495901,53.16142401766866,0.0,0.0,0.0,0.0,51.63039298292161,0.0,0.0,0.0,0.0
40.0,3.014000700035,0.0163313210137257,0.9998666350901959,53.16142394664948,0.0,0.0,0.0,0.0,51.63039293996309,0.0,0.0,0.0,0.0
40.0,3.01425071253563,0.016331312981551,0.999866635221394,53.16142387562359,0.0,0.0,0.0,0.0,51.63039289700105,0.0,0.0,0.0,0.0
